Feeder,,,Tablet Press,,
12/01/2018 16:58,C,22.058,12/01/2018 17:00,C,34.6
12/01/2018 17:13,C,22.058,12/01/2018 17:15,C,34.6
12/01/2018 17:28,C,21.558,12/01/2018 17:30,C,34.6
12/01/2018 17:43,C,22.058,12/01/2018 17:45,C,34.6
12/01/2018 17:58,C,22.058,12/01/2018 18:00,C,35.1
12/01/2018 18:13,C,22.058,12/01/2018 18:15,C,35.1
12/01/2018 18:28,C,22.058,12/01/2018 18:30,C,35.1
12/01/2018 18:43,C,22.058,12/01/2018 18:45,C,35.1
12/01/2018 18:58,C,22.058,12/01/2018 19:00,C,35.1
12/01/2018 19:13,C,22.058,12/01/2018 19:15,C,35.1
12/01/2018 19:28,C,22.058,12/01/2018 19:30,C,34.6
12/01/2018 19:43,C,21.558,12/01/2018 19:45,C,34.6
12/01/2018 19:58,C,21.558,12/01/2018 20:00,C,34.6
12/01/2018 20:13,C,21.558,12/01/2018 20:15,C,34.101
12/01/2018 20:28,C,21.558,12/01/2018 20:30,C,34.101
12/01/2018 20:43,C,21.558,12/01/2018 20:45,C,33.601
12/01/2018 20:58,C,21.558,12/01/2018 21:00,C,33.601
12/01/2018 21:13,C,21.558,12/01/2018 21:15,C,33.601
12/01/2018 21:28,C,21.558,12/01/2018 21:30,C,33.601
12/01/2018 21:43,C,22.058,12/01/2018 21:45,C,33.601
12/01/2018 21:58,C,22.058,12/01/2018 22:00,C,33.601
12/01/2018 22:13,C,22.058,12/01/2018 22:15,C,33.601
12/01/2018 22:28,C,22.058,12/01/2018 22:30,C,33.601
12/01/2018 22:43,C,22.058,12/01/2018 22:45,C,33.601
12/01/2018 22:58,C,22.058,12/01/2018 23:00,C,34.101
12/01/2018 23:13,C,22.058,12/01/2018 23:15,C,34.101
12/01/2018 23:28,C,22.058,12/01/2018 23:30,C,34.6
12/01/2018 23:43,C,22.058,12/01/2018 23:45,C,34.6
12/01/2018 23:58,C,21.558,13/01/2018 00:00,C,35.1
13/01/2018 00:13,C,21.558,13/01/2018 00:15,C,35.1
13/01/2018 00:28,C,21.558,13/01/2018 00:30,C,35.1
13/01/2018 00:43,C,21.558,13/01/2018 00:45,C,35.1
13/01/2018 00:58,C,21.558,13/01/2018 01:00,C,35.1
13/01/2018 01:13,C,21.558,13/01/2018 01:15,C,35.599
13/01/2018 01:28,C,21.558,13/01/2018 01:30,C,35.599
13/01/2018 01:43,C,21.558,13/01/2018 01:45,C,35.599
13/01/2018 01:58,C,21.558,13/01/2018 02:00,C,35.599
13/01/2018 02:13,C,21.558,13/01/2018 02:15,C,35.599
13/01/2018 02:28,C,21.558,13/01/2018 02:30,C,36.099
13/01/2018 02:43,C,21.558,13/01/2018 02:45,C,36.099
13/01/2018 02:58,C,21.558,13/01/2018 03:00,C,36.099
13/01/2018 03:13,C,21.558,13/01/2018 03:15,C,36.099
13/01/2018 03:28,C,21.558,13/01/2018 03:30,C,35.599
13/01/2018 03:43,C,21.558,13/01/2018 03:45,C,34.6
13/01/2018 03:58,C,21.558,13/01/2018 04:00,C,34.101
13/01/2018 04:13,C,21.057,13/01/2018 04:15,C,34.101
13/01/2018 04:28,C,21.057,13/01/2018 04:30,C,33.601
13/01/2018 04:43,C,21.057,13/01/2018 04:45,C,34.101
13/01/2018 04:58,C,21.057,13/01/2018 05:00,C,34.101
13/01/2018 05:13,C,21.057,13/01/2018 05:15,C,34.101
13/01/2018 05:28,C,21.057,13/01/2018 05:30,C,34.101
13/01/2018 05:43,C,21.057,13/01/2018 05:45,C,34.101
13/01/2018 05:58,C,21.057,13/01/2018 06:00,C,34.101
13/01/2018 06:13,C,21.057,13/01/2018 06:15,C,34.6
13/01/2018 06:28,C,21.057,13/01/2018 06:30,C,34.6
13/01/2018 06:43,C,21.057,13/01/2018 06:45,C,34.6
13/01/2018 06:58,C,21.057,13/01/2018 07:00,C,34.6
13/01/2018 07:13,C,21.558,13/01/2018 07:15,C,34.6
13/01/2018 07:28,C,21.558,13/01/2018 07:30,C,34.6
13/01/2018 07:43,C,21.558,13/01/2018 07:45,C,35.1
13/01/2018 07:58,C,21.558,13/01/2018 08:00,C,35.1
13/01/2018 08:13,C,21.558,13/01/2018 08:15,C,35.1
13/01/2018 08:28,C,21.558,13/01/2018 08:30,C,35.1
13/01/2018 08:43,C,21.558,13/01/2018 08:45,C,35.1
13/01/2018 08:58,C,21.558,13/01/2018 09:00,C,35.1
13/01/2018 09:13,C,21.558,13/01/2018 09:15,C,35.1
13/01/2018 09:28,C,21.558,13/01/2018 09:30,C,35.1
13/01/2018 09:43,C,21.558,13/01/2018 09:45,C,34.6
13/01/2018 09:58,C,21.558,13/01/2018 10:00,C,35.1
13/01/2018 10:13,C,21.558,13/01/2018 10:15,C,35.1
13/01/2018 10:28,C,21.558,13/01/2018 10:30,C,34.6
13/01/2018 10:43,C,21.558,13/01/2018 10:45,C,35.1
13/01/2018 10:58,C,21.558,13/01/2018 11:00,C,34.6
13/01/2018 11:13,C,21.558,13/01/2018 11:15,C,35.1
13/01/2018 11:28,C,21.558,13/01/2018 11:30,C,35.1
13/01/2018 11:43,C,21.558,13/01/2018 11:45,C,35.1
13/01/2018 11:58,C,21.558,13/01/2018 12:00,C,35.1
13/01/2018 12:13,C,21.558,13/01/2018 12:15,C,35.1
13/01/2018 12:28,C,21.558,13/01/2018 12:30,C,35.1
13/01/2018 12:43,C,21.558,13/01/2018 12:45,C,35.1
13/01/2018 12:58,C,21.558,13/01/2018 13:00,C,35.1
13/01/2018 13:13,C,21.558,13/01/2018 13:15,C,35.1
13/01/2018 13:28,C,21.558,13/01/2018 13:30,C,35.1
13/01/2018 13:43,C,21.558,13/01/2018 13:45,C,35.1
13/01/2018 13:58,C,21.558,13/01/2018 14:00,C,35.1
13/01/2018 14:13,C,21.558,13/01/2018 14:15,C,35.599
13/01/2018 14:28,C,21.558,13/01/2018 14:30,C,35.599
13/01/2018 14:43,C,21.558,13/01/2018 14:45,C,35.599
13/01/2018 14:58,C,21.558,13/01/2018 15:00,C,35.599
13/01/2018 15:13,C,21.558,13/01/2018 15:15,C,35.599
13/01/2018 15:28,C,21.558,13/01/2018 15:30,C,35.599
13/01/2018 15:43,C,21.558,13/01/2018 15:45,C,35.599
13/01/2018 15:58,C,21.558,13/01/2018 16:00,C,35.599
13/01/2018 16:13,C,21.558,13/01/2018 16:15,C,35.599
13/01/2018 16:28,C,21.558,13/01/2018 16:30,C,35.599
13/01/2018 16:43,C,21.558,13/01/2018 16:45,C,35.599
13/01/2018 16:58,C,21.558,13/01/2018 17:00,C,35.1
13/01/2018 17:13,C,21.558,13/01/2018 17:15,C,35.1
13/01/2018 17:28,C,21.558,13/01/2018 17:30,C,35.1
13/01/2018 17:43,C,21.558,13/01/2018 17:45,C,35.1
13/01/2018 17:58,C,21.558,13/01/2018 18:00,C,35.1
13/01/2018 18:13,C,21.558,13/01/2018 18:15,C,35.1
13/01/2018 18:28,C,21.558,13/01/2018 18:30,C,35.1
13/01/2018 18:43,C,21.558,13/01/2018 18:45,C,35.1
13/01/2018 18:58,C,21.558,13/01/2018 19:00,C,35.1
13/01/2018 19:13,C,21.558,13/01/2018 19:15,C,35.1
13/01/2018 19:28,C,21.558,13/01/2018 19:30,C,35.1
13/01/2018 19:43,C,21.558,13/01/2018 19:45,C,35.1
13/01/2018 19:58,C,21.558,13/01/2018 20:00,C,35.599
13/01/2018 20:13,C,21.558,13/01/2018 20:15,C,35.599
13/01/2018 20:28,C,21.558,13/01/2018 20:30,C,35.599
13/01/2018 20:43,C,21.558,13/01/2018 20:45,C,35.599
13/01/2018 20:58,C,21.558,13/01/2018 21:00,C,35.599
13/01/2018 21:13,C,21.558,13/01/2018 21:15,C,35.599
13/01/2018 21:28,C,21.558,13/01/2018 21:30,C,36.099
13/01/2018 21:43,C,21.558,13/01/2018 21:45,C,36.099
13/01/2018 21:58,C,21.558,13/01/2018 22:00,C,35.599
13/01/2018 22:13,C,21.558,13/01/2018 22:15,C,35.599
13/01/2018 22:28,C,21.558,13/01/2018 22:30,C,36.099
13/01/2018 22:43,C,21.558,13/01/2018 22:45,C,35.599
13/01/2018 22:58,C,21.558,13/01/2018 23:00,C,35.599
13/01/2018 23:13,C,21.558,13/01/2018 23:15,C,35.599
13/01/2018 23:28,C,21.558,13/01/2018 23:30,C,36.099
13/01/2018 23:43,C,21.558,13/01/2018 23:45,C,36.099
13/01/2018 23:58,C,21.558,14/01/2018 00:00,C,36.099
14/01/2018 00:13,C,21.558,14/01/2018 00:15,C,36.099
14/01/2018 00:28,C,21.558,14/01/2018 00:30,C,36.099
14/01/2018 00:43,C,21.558,14/01/2018 00:45,C,36.099
14/01/2018 00:58,C,21.558,14/01/2018 01:00,C,36.598
14/01/2018 01:13,C,21.558,14/01/2018 01:15,C,36.598
14/01/2018 01:28,C,21.558,14/01/2018 01:30,C,36.598
14/01/2018 01:43,C,21.558,14/01/2018 01:45,C,36.598
14/01/2018 01:58,C,21.558,14/01/2018 02:00,C,36.598
14/01/2018 02:13,C,21.558,14/01/2018 02:15,C,37.097
14/01/2018 02:28,C,21.558,14/01/2018 02:30,C,37.097
14/01/2018 02:43,C,21.558,14/01/2018 02:45,C,37.097
14/01/2018 02:58,C,21.558,14/01/2018 03:00,C,37.097
14/01/2018 03:13,C,21.558,14/01/2018 03:15,C,37.097
14/01/2018 03:28,C,21.558,14/01/2018 03:30,C,37.097
14/01/2018 03:43,C,21.558,14/01/2018 03:45,C,37.097
14/01/2018 03:58,C,21.558,14/01/2018 04:00,C,37.097
14/01/2018 04:13,C,21.558,14/01/2018 04:15,C,37.097
14/01/2018 04:28,C,21.558,14/01/2018 04:30,C,37.097
14/01/2018 04:43,C,21.558,14/01/2018 04:45,C,37.097
14/01/2018 04:58,C,21.558,14/01/2018 05:00,C,37.596
14/01/2018 05:13,C,21.558,14/01/2018 05:15,C,37.596
14/01/2018 05:28,C,21.558,14/01/2018 05:30,C,37.596
14/01/2018 05:43,C,21.558,14/01/2018 05:45,C,37.596
14/01/2018 05:58,C,21.558,14/01/2018 06:00,C,37.596
14/01/2018 06:13,C,21.558,14/01/2018 06:15,C,37.596
14/01/2018 06:28,C,21.558,14/01/2018 06:30,C,37.596
14/01/2018 06:43,C,21.558,14/01/2018 06:45,C,37.596
14/01/2018 06:58,C,21.558,14/01/2018 07:00,C,37.097
14/01/2018 07:13,C,21.558,14/01/2018 07:15,C,37.097
14/01/2018 07:28,C,21.558,14/01/2018 07:30,C,37.097
14/01/2018 07:43,C,21.558,14/01/2018 07:45,C,37.097
14/01/2018 07:58,C,21.558,14/01/2018 08:00,C,37.097
14/01/2018 08:13,C,21.558,14/01/2018 08:15,C,37.596
14/01/2018 08:28,C,21.558,14/01/2018 08:30,C,37.097
14/01/2018 08:43,C,21.558,14/01/2018 08:45,C,37.097
14/01/2018 08:58,C,21.558,14/01/2018 09:00,C,37.097
14/01/2018 09:13,C,21.558,14/01/2018 09:15,C,37.097
14/01/2018 09:28,C,21.558,14/01/2018 09:30,C,37.097
14/01/2018 09:43,C,21.558,14/01/2018 09:45,C,37.097
14/01/2018 09:58,C,21.558,14/01/2018 10:00,C,37.097
14/01/2018 10:13,C,21.558,14/01/2018 10:15,C,37.097
14/01/2018 10:28,C,21.558,14/01/2018 10:30,C,36.598
14/01/2018 10:43,C,21.558,14/01/2018 10:45,C,37.097
14/01/2018 10:58,C,21.558,14/01/2018 11:00,C,36.598
14/01/2018 11:13,C,21.558,14/01/2018 11:15,C,36.598
14/01/2018 11:28,C,21.558,14/01/2018 11:30,C,36.598
14/01/2018 11:43,C,21.558,14/01/2018 11:45,C,36.598
14/01/2018 11:58,C,21.558,14/01/2018 12:00,C,36.598
14/01/2018 12:13,C,21.558,14/01/2018 12:15,C,36.598
14/01/2018 12:28,C,21.558,14/01/2018 12:30,C,36.598
14/01/2018 12:43,C,21.558,14/01/2018 12:45,C,36.598
14/01/2018 12:58,C,21.558,14/01/2018 13:00,C,36.598
14/01/2018 13:13,C,21.558,14/01/2018 13:15,C,36.598
14/01/2018 13:28,C,21.558,14/01/2018 13:30,C,36.598
14/01/2018 13:43,C,21.558,14/01/2018 13:45,C,36.598
14/01/2018 13:58,C,21.558,14/01/2018 14:00,C,36.598
14/01/2018 14:13,C,21.558,14/01/2018 14:15,C,37.097
14/01/2018 14:28,C,21.558,14/01/2018 14:30,C,36.598
14/01/2018 14:43,C,21.558,14/01/2018 14:45,C,36.598
14/01/2018 14:58,C,22.058,14/01/2018 15:00,C,36.598
14/01/2018 15:13,C,21.558,14/01/2018 15:15,C,36.598
14/01/2018 15:28,C,22.058,14/01/2018 15:30,C,36.598
14/01/2018 15:43,C,21.558,14/01/2018 15:45,C,36.598
14/01/2018 15:58,C,22.058,14/01/2018 16:00,C,36.598
14/01/2018 16:13,C,22.058,14/01/2018 16:15,C,37.097
14/01/2018 16:28,C,22.058,14/01/2018 16:30,C,37.097
14/01/2018 16:43,C,22.058,14/01/2018 16:45,C,37.596
14/01/2018 16:58,C,22.058,14/01/2018 17:00,C,37.097
14/01/2018 17:13,C,22.058,14/01/2018 17:15,C,37.097
14/01/2018 17:28,C,21.558,14/01/2018 17:30,C,37.097
14/01/2018 17:43,C,21.558,14/01/2018 17:45,C,37.097
14/01/2018 17:58,C,22.058,14/01/2018 18:00,C,37.097
14/01/2018 18:13,C,22.058,14/01/2018 18:15,C,37.097
14/01/2018 18:28,C,21.558,14/01/2018 18:30,C,37.097
14/01/2018 18:43,C,22.058,14/01/2018 18:45,C,37.097
14/01/2018 18:58,C,22.058,14/01/2018 19:00,C,37.097
14/01/2018 19:13,C,22.058,14/01/2018 19:15,C,37.097
14/01/2018 19:28,C,22.058,14/01/2018 19:30,C,36.598
14/01/2018 19:43,C,22.058,14/01/2018 19:45,C,36.598
14/01/2018 19:58,C,22.058,14/01/2018 20:00,C,37.097
14/01/2018 20:13,C,22.058,14/01/2018 20:15,C,37.097
14/01/2018 20:28,C,22.058,14/01/2018 20:30,C,37.097
14/01/2018 20:43,C,22.058,14/01/2018 20:45,C,37.097
14/01/2018 20:58,C,22.058,14/01/2018 21:00,C,37.097
14/01/2018 21:13,C,22.058,14/01/2018 21:15,C,37.097
14/01/2018 21:28,C,22.058,14/01/2018 21:30,C,37.097
14/01/2018 21:43,C,22.058,14/01/2018 21:45,C,37.097
14/01/2018 21:58,C,22.058,14/01/2018 22:00,C,37.596
14/01/2018 22:13,C,21.558,14/01/2018 22:15,C,37.596
14/01/2018 22:28,C,21.558,14/01/2018 22:30,C,37.596
14/01/2018 22:43,C,22.058,14/01/2018 22:45,C,37.097
14/01/2018 22:58,C,22.058,14/01/2018 23:00,C,37.097
14/01/2018 23:13,C,21.558,14/01/2018 23:15,C,37.097
14/01/2018 23:28,C,21.558,14/01/2018 23:30,C,37.097
14/01/2018 23:43,C,21.558,14/01/2018 23:45,C,37.097
14/01/2018 23:58,C,21.558,15/01/2018 00:00,C,37.097
15/01/2018 00:13,C,21.558,15/01/2018 00:15,C,38.096
15/01/2018 00:28,C,21.558,15/01/2018 00:30,C,38.096
15/01/2018 00:43,C,21.558,15/01/2018 00:45,C,38.096
15/01/2018 00:58,C,21.558,15/01/2018 01:00,C,38.096
15/01/2018 01:13,C,21.558,15/01/2018 01:15,C,37.596
15/01/2018 01:28,C,21.558,15/01/2018 01:30,C,37.097
15/01/2018 01:43,C,21.558,15/01/2018 01:45,C,37.097
15/01/2018 01:58,C,21.558,15/01/2018 02:00,C,37.097
15/01/2018 02:13,C,21.558,15/01/2018 02:15,C,37.596
15/01/2018 02:28,C,21.558,15/01/2018 02:30,C,37.596
15/01/2018 02:43,C,21.558,15/01/2018 02:45,C,38.096
15/01/2018 02:58,C,21.558,15/01/2018 03:00,C,38.096
15/01/2018 03:13,C,21.558,15/01/2018 03:15,C,38.096
15/01/2018 03:28,C,21.558,15/01/2018 03:30,C,38.096
15/01/2018 03:43,C,21.558,15/01/2018 03:45,C,37.596
15/01/2018 03:58,C,21.558,15/01/2018 04:00,C,38.096
15/01/2018 04:13,C,21.558,15/01/2018 04:15,C,38.096
15/01/2018 04:28,C,21.558,15/01/2018 04:30,C,38.096
15/01/2018 04:43,C,21.558,15/01/2018 04:45,C,38.096
15/01/2018 04:58,C,21.558,15/01/2018 05:00,C,38.096
15/01/2018 05:13,C,21.558,15/01/2018 05:15,C,38.096
15/01/2018 05:28,C,21.558,15/01/2018 05:30,C,38.096
15/01/2018 05:43,C,21.558,15/01/2018 05:45,C,37.097
15/01/2018 05:58,C,21.558,15/01/2018 06:00,C,37.097
15/01/2018 06:13,C,21.558,15/01/2018 06:15,C,37.097
15/01/2018 06:28,C,21.558,15/01/2018 06:30,C,37.097
15/01/2018 06:43,C,21.558,15/01/2018 06:45,C,37.097
15/01/2018 06:58,C,22.058,15/01/2018 07:00,C,37.097
15/01/2018 07:13,C,22.058,15/01/2018 07:15,C,37.097
15/01/2018 07:28,C,22.058,15/01/2018 07:30,C,37.097
15/01/2018 07:43,C,22.058,15/01/2018 07:45,C,36.598
15/01/2018 07:58,C,22.058,15/01/2018 08:00,C,36.598
15/01/2018 08:13,C,22.058,15/01/2018 08:15,C,37.097
15/01/2018 08:28,C,22.058,15/01/2018 08:30,C,36.598
15/01/2018 08:43,C,22.058,15/01/2018 08:45,C,36.598
15/01/2018 08:58,C,22.058,15/01/2018 09:00,C,36.598
15/01/2018 09:13,C,22.058,15/01/2018 09:15,C,36.598
15/01/2018 09:28,C,22.058,15/01/2018 09:30,C,36.598
15/01/2018 09:43,C,22.058,15/01/2018 09:45,C,36.598
15/01/2018 09:58,C,22.058,15/01/2018 10:00,C,36.598
15/01/2018 10:13,C,22.058,15/01/2018 10:15,C,36.598
15/01/2018 10:28,C,22.058,15/01/2018 10:30,C,35.599
15/01/2018 10:43,C,22.558,15/01/2018 10:45,C,35.599
15/01/2018 10:58,C,22.058,15/01/2018 11:00,C,35.599
15/01/2018 11:13,C,22.058,15/01/2018 11:15,C,35.599
15/01/2018 11:28,C,22.058,15/01/2018 11:30,C,35.599
15/01/2018 11:43,C,22.058,15/01/2018 11:45,C,35.599
15/01/2018 11:58,C,22.058,15/01/2018 12:00,C,35.599
15/01/2018 12:13,C,22.558,15/01/2018 12:15,C,35.599
15/01/2018 12:28,C,22.558,15/01/2018 12:30,C,35.599
15/01/2018 12:43,C,22.558,15/01/2018 12:45,C,35.599
15/01/2018 12:58,C,22.558,15/01/2018 13:00,C,35.599
15/01/2018 13:13,C,22.558,15/01/2018 13:15,C,35.599
15/01/2018 13:28,C,22.558,15/01/2018 13:30,C,35.599
15/01/2018 13:43,C,22.558,15/01/2018 13:45,C,36.099
15/01/2018 13:58,C,22.558,15/01/2018 14:00,C,35.599
15/01/2018 14:13,C,22.558,15/01/2018 14:15,C,35.599
15/01/2018 14:28,C,22.558,15/01/2018 14:30,C,35.599
15/01/2018 14:43,C,22.558,15/01/2018 14:45,C,35.599
15/01/2018 14:58,C,22.558,15/01/2018 15:00,C,35.599
15/01/2018 15:13,C,22.558,15/01/2018 15:15,C,36.099
15/01/2018 15:28,C,22.558,15/01/2018 15:30,C,35.599
15/01/2018 15:43,C,22.558,15/01/2018 15:45,C,36.099
15/01/2018 15:58,C,22.558,15/01/2018 16:00,C,36.598
15/01/2018 16:13,C,22.558,15/01/2018 16:15,C,36.598
15/01/2018 16:28,C,22.558,15/01/2018 16:30,C,37.097
15/01/2018 16:43,C,22.558,15/01/2018 16:45,C,36.598
15/01/2018 16:58,C,22.558,15/01/2018 17:00,C,36.598
15/01/2018 17:13,C,22.558,15/01/2018 17:15,C,36.598
15/01/2018 17:28,C,22.058,15/01/2018 17:30,C,37.097
15/01/2018 17:43,C,22.058,15/01/2018 17:45,C,36.598
15/01/2018 17:58,C,22.058,15/01/2018 18:00,C,36.598
15/01/2018 18:13,C,22.058,15/01/2018 18:15,C,36.598
15/01/2018 18:28,C,22.058,15/01/2018 18:30,C,36.598
15/01/2018 18:43,C,22.058,15/01/2018 18:45,C,36.598
15/01/2018 18:58,C,22.058,15/01/2018 19:00,C,36.099
15/01/2018 19:13,C,22.058,15/01/2018 19:15,C,36.099
15/01/2018 19:28,C,22.058,15/01/2018 19:30,C,36.099
15/01/2018 19:43,C,22.058,15/01/2018 19:45,C,36.099
15/01/2018 19:58,C,22.058,15/01/2018 20:00,C,36.099
15/01/2018 20:13,C,22.058,15/01/2018 20:15,C,36.099
15/01/2018 20:28,C,22.058,15/01/2018 20:30,C,36.099
15/01/2018 20:43,C,22.058,15/01/2018 20:45,C,36.099
15/01/2018 20:58,C,22.058,15/01/2018 21:00,C,36.099
15/01/2018 21:13,C,22.058,15/01/2018 21:15,C,36.099
15/01/2018 21:28,C,22.058,15/01/2018 21:30,C,36.099
15/01/2018 21:43,C,22.558,15/01/2018 21:45,C,36.099
15/01/2018 21:58,C,22.558,15/01/2018 22:00,C,36.598
15/01/2018 22:13,C,22.558,15/01/2018 22:15,C,36.598
15/01/2018 22:28,C,22.058,15/01/2018 22:30,C,37.097
15/01/2018 22:43,C,22.058,15/01/2018 22:45,C,37.097
15/01/2018 22:58,C,22.058,15/01/2018 23:00,C,37.097
15/01/2018 23:13,C,22.058,15/01/2018 23:15,C,37.097
15/01/2018 23:28,C,23.058,15/01/2018 23:30,C,37.097
15/01/2018 23:43,C,22.558,15/01/2018 23:45,C,37.097
15/01/2018 23:58,C,22.058,16/01/2018 00:00,C,37.097
16/01/2018 00:13,C,22.058,16/01/2018 00:15,C,37.097
16/01/2018 00:28,C,22.058,16/01/2018 00:30,C,36.598
16/01/2018 00:43,C,22.058,16/01/2018 00:45,C,37.097
16/01/2018 00:58,C,22.058,16/01/2018 01:00,C,37.097
16/01/2018 01:13,C,22.058,16/01/2018 01:15,C,37.097
16/01/2018 01:28,C,22.058,16/01/2018 01:30,C,37.596
16/01/2018 01:43,C,22.058,16/01/2018 01:45,C,37.596
16/01/2018 01:58,C,22.058,16/01/2018 02:00,C,37.596
16/01/2018 02:13,C,22.058,16/01/2018 02:15,C,37.596
16/01/2018 02:28,C,22.058,16/01/2018 02:30,C,37.596
16/01/2018 02:43,C,22.058,16/01/2018 02:45,C,37.596
16/01/2018 02:58,C,22.058,16/01/2018 03:00,C,37.596
16/01/2018 03:13,C,22.058,16/01/2018 03:15,C,37.596
16/01/2018 03:28,C,22.058,16/01/2018 03:30,C,37.596
16/01/2018 03:43,C,22.058,16/01/2018 03:45,C,37.596
16/01/2018 03:58,C,22.058,16/01/2018 04:00,C,37.596
16/01/2018 04:13,C,22.058,16/01/2018 04:15,C,37.596
16/01/2018 04:28,C,22.058,16/01/2018 04:30,C,37.596
16/01/2018 04:43,C,22.058,16/01/2018 04:45,C,37.596
16/01/2018 04:58,C,22.058,16/01/2018 05:00,C,37.596
16/01/2018 05:13,C,22.058,16/01/2018 05:15,C,38.096
16/01/2018 05:28,C,22.058,16/01/2018 05:30,C,38.096
16/01/2018 05:43,C,22.058,16/01/2018 05:45,C,38.096
16/01/2018 05:58,C,22.058,16/01/2018 06:00,C,38.096
16/01/2018 06:13,C,22.058,16/01/2018 06:15,C,38.096
16/01/2018 06:28,C,22.058,16/01/2018 06:30,C,38.096
16/01/2018 06:43,C,22.058,16/01/2018 06:45,C,38.096
16/01/2018 06:58,C,22.058,16/01/2018 07:00,C,37.596
16/01/2018 07:13,C,22.058,16/01/2018 07:15,C,37.596
16/01/2018 07:28,C,22.058,16/01/2018 07:30,C,37.596
16/01/2018 07:43,C,22.558,16/01/2018 07:45,C,37.596
16/01/2018 07:58,C,22.558,16/01/2018 08:00,C,37.596
16/01/2018 08:13,C,22.558,16/01/2018 08:15,C,37.596
16/01/2018 08:28,C,22.558,16/01/2018 08:30,C,37.596
16/01/2018 08:43,C,22.558,16/01/2018 08:45,C,37.596
16/01/2018 08:58,C,22.558,16/01/2018 09:00,C,37.596
16/01/2018 09:13,C,22.558,16/01/2018 09:15,C,38.096
16/01/2018 09:28,C,22.558,16/01/2018 09:30,C,38.096
16/01/2018 09:43,C,22.558,16/01/2018 09:45,C,37.596
16/01/2018 09:58,C,23.058,16/01/2018 10:00,C,37.596
16/01/2018 10:13,C,23.058,16/01/2018 10:15,C,38.096
16/01/2018 10:28,C,23.058,16/01/2018 10:30,C,38.595
16/01/2018 10:43,C,23.058,16/01/2018 10:45,C,38.595
16/01/2018 10:58,C,23.058,16/01/2018 11:00,C,38.595
16/01/2018 11:13,C,23.058,16/01/2018 11:15,C,38.096
16/01/2018 11:28,C,23.058,16/01/2018 11:30,C,38.096
16/01/2018 11:43,C,23.058,16/01/2018 11:45,C,38.096
16/01/2018 11:58,C,23.058,16/01/2018 12:00,C,38.096
16/01/2018 12:13,C,23.058,16/01/2018 12:15,C,38.595
16/01/2018 12:28,C,22.558,16/01/2018 12:30,C,38.096
16/01/2018 12:43,C,22.558,16/01/2018 12:45,C,38.096
16/01/2018 12:58,C,22.558,16/01/2018 13:00,C,38.096
16/01/2018 13:13,C,23.058,16/01/2018 13:15,C,38.096
16/01/2018 13:28,C,23.058,16/01/2018 13:30,C,38.096
16/01/2018 13:43,C,23.058,16/01/2018 13:45,C,38.096
16/01/2018 13:58,C,23.058,16/01/2018 14:00,C,38.096
16/01/2018 14:13,C,23.058,16/01/2018 14:15,C,38.096
16/01/2018 14:28,C,23.558,16/01/2018 14:30,C,38.096
